TransactionID,date,time,CustomerID,AccountType,TransactionType,amount,merchant,country,Counterparty,Channel,timestamp,transaction_id,risk_score,risk_level,risk_flags,risk_details,flagged_for_review,austrac_reporting_required
T00263,2025-03-06,05:17:04,C7366,Savings,ATM Withdrawal,17012.13,Aldi Australia,United Kingdom,Company_7003,Online,2025-03-06 05:17:04,TX_000011,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: United Kingdom'],False,False
T00757,2025-06-27,00:54:10,C2951,Business,Online Payment,18361.05,BP Australia,Hong Kong,Person_2476,Third Party,2025-06-27 00:54:10,TX_000012,35.0,MEDIUM,"['LATE_NIGHT_TRANSACTION', 'INTERNATIONAL_TRANSACTION']","['Transaction at 00:00 (High-risk hours: 12am-5am)', 'International transaction: Hong Kong']",False,False
T00849,2025-04-23,21:09:28,C5918,Business,Crypto Purchase,23533.88,eBay,United States,Person_6715,ATM,2025-04-23 21:09:28,TX_000013,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: United States'],False,False
T00101,2025-03-09,14:37:39,C2979,Savings,Wire Transfer,15877.07,eBay,United States,Company_8175,ATM,2025-03-09 14:37:39,TX_000014,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: United States'],False,False
T00771,2025-06-11,08:51:52,C7857,Savings,ATM Withdrawal,13926.73,Coles Express,Australia,Person_4003,Branch,2025-06-11 08:51:52,TX_000015,0.0,LOW,[],[],False,False
T00546,2025-10-11,07:49:16,C2457,Investment,Cash Deposit,23077.86,NAB,Singapore,Company_7782,Branch,2025-10-11 07:49:16,TX_000016,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: Singapore'],False,False
T00142,2025-09-21,09:58:32,C9053,Investment,Wire Transfer,5645.52,ZipPay,UAE,Entity_4092,Branch,2025-09-21 09:58:32,TX_000017,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: UAE'],False,False
T00746,2025-08-26,10:39:25,C7941,Checking,Cash Deposit,9552.48,InvoicePay Solutions,Singapore,Company_9589,ATM,2025-08-26 10:39:25,TX_000018,40.0,HIGH,"['INTERNATIONAL_TRANSACTION', 'POTENTIAL_STRUCTURING']","['International transaction: Singapore', 'Amount $9,552.48 is 4.5% below AUSTRAC threshold ($10,000)']",True,False
T00358,2025-07-02,06:57:30,C8923,Business,Cash Deposit,5220.33,Afterpay,UAE,Entity_1288,Mobile App,2025-07-02 06:57:30,TX_000019,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: UAE'],False,False
T00770,2025-07-10,18:54:08,C2380,Business,Wire Transfer,4060.96,Amazon,United States,Company_3778,Third Party,2025-07-10 18:54:08,TX_000020,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: United States'],False,False
T00790,2025-03-04,03:52:41,C3575,Investment,Crypto Purchase,1191.26,Optus,UAE,Company_1235,Third Party,2025-03-04 03:52:41,TX_000021,35.0,MEDIUM,"['LATE_NIGHT_TRANSACTION', 'INTERNATIONAL_TRANSACTION']","['Transaction at 03:00 (High-risk hours: 12am-5am)', 'International transaction: UAE']",False,False
T00067,2025-07-01,07:15:46,C4193,Savings,Crypto Purchase,5082.89,Microsoft Store,United States,Person_7063,Branch,2025-07-01 07:15:46,TX_000022,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: United States'],False,False
T00506,2025-10-11,21:13:19,C2082,Business,Cash Deposit,17865.9,Westpac,Hong Kong,Entity_3698,Online,2025-10-11 21:13:19,TX_000023,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: Hong Kong'],False,False
T00533,2025-01-13,19:05:26,C8421,Business,ATM Withdrawal,23362.46,Apple Store,UAE,Company_3188,Branch,2025-01-13 19:05:26,TX_000024,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: UAE'],False,False
T00817,2025-05-16,12:37:59,C6036,Savings,Online Payment,17887.35,Myer,United Kingdom,Entity_2018,Mobile App,2025-05-16 12:37:59,TX_000025,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: United Kingdom'],False,False
T00685,2025-08-14,11:49:04,C6578,Investment,Wire Transfer,11053.75,Target,United Kingdom,Entity_2286,Online,2025-08-14 11:49:04,TX_000026,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: United Kingdom'],False,False
T00469,2025-01-12,23:18:56,C6343,Checking,Cash Deposit,117.64,Coles,Singapore,Entity_5604,Mobile App,2025-01-12 23:18:56,TX_000027,25.0,MEDIUM,"['UNUSUAL_HOURS', 'INTERNATIONAL_TRANSACTION']","['Transaction at 23:00 (Late evening hours)', 'International transaction: Singapore']",False,False
T00964,2025-05-24,23:58:39,C2935,Business,Wire Transfer,16929.01,IAG Insurance,Australia,Person_2905,ATM,2025-05-24 23:58:39,TX_000028,15.0,LOW,['UNUSUAL_HOURS'],['Transaction at 23:00 (Late evening hours)'],False,False
T00484,2025-03-13,13:47:08,C4516,Investment,Cash Deposit,16646.67,Myer,Australia,Company_9096,Online,2025-03-13 13:47:08,TX_000029,0.0,LOW,[],[],False,False
T00923,2025-04-26,19:40:04,C3099,Business,Crypto Purchase,3686.63,Coles,United States,Person_3794,Branch,2025-04-26 19:40:04,TX_000030,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: United States'],False,False
T00752,2025-10-02,15:01:23,C5200,Investment,Crypto Purchase,12403.91,Afterpay,Hong Kong,Company_1674,ATM,2025-10-02 15:01:23,TX_000031,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: Hong Kong'],False,False
T00400,2025-04-06,17:52:51,C6199,Business,ATM Withdrawal,11546.43,ALDI,Singapore,Company_5540,Online,2025-04-06 17:52:51,TX_000032,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: Singapore'],False,False
T00024,2025-01-17,20:26:38,C6249,Savings,Crypto Purchase,20219.51,Woolworths,United Kingdom,Person_3054,Third Party,2025-01-17 20:26:38,TX_000033,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: United Kingdom'],False,False
T00640,2025-03-05,21:43:25,C7884,Checking,ATM Withdrawal,11927.46,Woolworths,United States,Person_5482,Branch,2025-03-05 21:43:25,TX_000034,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: United States'],False,False
T00226,2025-02-18,09:38:42,C2891,Checking,Crypto Purchase,4371.39,Amazon,China,Entity_2316,Branch,2025-02-18 09:38:42,TX_000035,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: China'],False,False
T00216,2025-07-06,02:23:20,C5731,Checking,Online Payment,15312.43,eBay,Singapore,Person_8425,Online,2025-07-06 02:23:20,TX_000036,35.0,MEDIUM,"['LATE_NIGHT_TRANSACTION', 'INTERNATIONAL_TRANSACTION']","['Transaction at 02:00 (High-risk hours: 12am-5am)', 'International transaction: Singapore']",False,False
T00244,2025-01-21,20:45:05,C6493,Business,Online Payment,1780.56,Officeworks,UAE,Company_7140,Branch,2025-01-21 20:45:05,TX_000037,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: UAE'],False,False
T00889,2025-10-02,15:56:15,C9836,Checking,Wire Transfer,21163.82,Bunnings,Singapore,Company_8412,Third Party,2025-10-02 15:56:15,TX_000038,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: Singapore'],False,False
T00908,2025-01-24,00:16:49,C3450,Checking,Wire Transfer,12332.33,ALDI,United Kingdom,Person_6035,Branch,2025-01-24 00:16:49,TX_000039,35.0,MEDIUM,"['LATE_NIGHT_TRANSACTION', 'INTERNATIONAL_TRANSACTION']","['Transaction at 00:00 (High-risk hours: 12am-5am)', 'International transaction: United Kingdom']",False,False
T00479,2025-05-22,23:20:14,C5762,Savings,Wire Transfer,1249.96,Bunnings,Australia,Person_9141,Online,2025-05-22 23:20:14,TX_000040,15.0,LOW,['UNUSUAL_HOURS'],['Transaction at 23:00 (Late evening hours)'],False,False
T00634,2025-02-05,16:09:01,C6961,Investment,Wire Transfer,2115.83,eBay,Hong Kong,Company_5949,Online,2025-02-05 16:09:01,TX_000041,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: Hong Kong'],False,False
T00594,2025-04-07,23:49:37,C1367,Business,Cash Deposit,2183.44,Harvey Norman,United States,Company_2509,Mobile App,2025-04-07 23:49:37,TX_000042,25.0,MEDIUM,"['UNUSUAL_HOURS', 'INTERNATIONAL_TRANSACTION']","['Transaction at 23:00 (Late evening hours)', 'International transaction: United States']",False,False
T00682,2025-07-31,20:51:22,C8799,Savings,ATM Withdrawal,5788.72,Google Play,United States,Company_6000,Mobile App,2025-07-31 20:51:22,TX_000043,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: United States'],False,False
T00547,2025-08-06,22:26:05,C4830,Checking,Crypto Purchase,8706.48,ZipPay,UAE,Entity_2346,Mobile App,2025-08-06 22:26:05,TX_000044,55.0,HIGH,"['UNUSUAL_HOURS', 'INTERNATIONAL_TRANSACTION', 'POTENTIAL_STRUCTURING']","['Transaction at 22:00 (Late evening hours)', 'International transaction: UAE', 'Amount $8,706.48 is 12.9% below AUSTRAC threshold ($10,000)']",True,False
T00523,2025-09-22,09:17:41,C8480,Checking,Cash Deposit,14676.43,Myer,China,Company_6919,Third Party,2025-09-22 09:17:41,TX_000045,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: China'],False,False
T00353,2025-09-26,22:29:24,C3601,Savings,Crypto Purchase,19236.24,Commonwealth Bank,Hong Kong,Person_3905,Online,2025-09-26 22:29:24,TX_000046,25.0,MEDIUM,"['UNUSUAL_HOURS', 'INTERNATIONAL_TRANSACTION']","['Transaction at 22:00 (Late evening hours)', 'International transaction: Hong Kong']",False,False
T00993,2025-09-26,05:55:44,C6729,Investment,ATM Withdrawal,12005.59,Google Play,UAE,Company_2111,Online,2025-09-26 05:55:44,TX_000047,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: UAE'],False,False
T00346,2025-08-10,20:22:31,C6453,Checking,Wire Transfer,14248.58,Telstra,China,Person_2541,Branch,2025-08-10 20:22:31,TX_000048,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: China'],False,False
T00600,2025-02-15,15:33:37,C2887,Savings,Wire Transfer,6522.61,Domain,Hong Kong,Entity_9088,Online,2025-02-15 15:33:37,TX_000049,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: Hong Kong'],False,False
T00442,2025-01-30,07:42:06,C3107,Investment,ATM Withdrawal,2242.8,Microsoft Store,UAE,Entity_1008,ATM,2025-01-30 07:42:06,TX_000050,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: UAE'],False,False
T00922,2025-06-26,18:34:44,C1272,Checking,Online Payment,8458.23,eBay,Australia,Person_2130,Mobile App,2025-06-26 18:34:44,TX_000051,30.0,MEDIUM,['POTENTIAL_STRUCTURING'],"['Amount $8,458.23 is 15.4% below AUSTRAC threshold ($10,000)']",False,False
T00105,2025-06-09,10:44:21,C2415,Investment,Wire Transfer,2067.29,BP Australia,United Kingdom,Company_5673,Online,2025-06-09 10:44:21,TX_000052,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: United Kingdom'],False,False
T00023,2025-05-30,11:24:59,C6869,Checking,Online Payment,23557.93,Aldi Australia,UAE,Entity_1744,Branch,2025-05-30 11:24:59,TX_000053,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: UAE'],False,False
T00316,2025-06-10,13:59:52,C1112,Savings,Crypto Purchase,24234.1,ZipPay,UAE,Company_2945,Third Party,2025-06-10 13:59:52,TX_000054,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: UAE'],False,False
T00878,2025-05-16,20:31:11,C1725,Business,Wire Transfer,10869.7,Qantas,United Kingdom,Entity_2963,Mobile App,2025-05-16 20:31:11,TX_000055,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: United Kingdom'],False,False
T00396,2025-06-02,00:08:11,C3043,Savings,Wire Transfer,1069.67,Commonwealth Bank,Australia,Company_2163,Mobile App,2025-06-02 00:08:11,TX_000056,25.0,MEDIUM,['LATE_NIGHT_TRANSACTION'],['Transaction at 00:00 (High-risk hours: 12am-5am)'],False,False
T00630,2025-04-01,18:53:52,C2059,Checking,Online Payment,10498.32,Amazon,China,Person_1160,Third Party,2025-04-01 18:53:52,TX_000057,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: China'],False,False
T00862,2025-01-07,19:57:45,C8234,Checking,Online Payment,13555.34,Kmart,Hong Kong,Person_5643,Mobile App,2025-01-07 19:57:45,TX_000058,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: Hong Kong'],False,False
T00664,2025-04-25,03:54:04,C3340,Checking,Crypto Purchase,16486.64,Woolworths,UAE,Entity_5390,ATM,2025-04-25 03:54:04,TX_000059,35.0,MEDIUM,"['LATE_NIGHT_TRANSACTION', 'INTERNATIONAL_TRANSACTION']","['Transaction at 03:00 (High-risk hours: 12am-5am)', 'International transaction: UAE']",False,False
T00329,2025-09-30,19:00:03,C5790,Investment,Wire Transfer,9040.61,Optus,Singapore,Company_6816,Third Party,2025-09-30 19:00:03,TX_000060,40.0,HIGH,"['INTERNATIONAL_TRANSACTION', 'POTENTIAL_STRUCTURING']","['International transaction: Singapore', 'Amount $9,040.61 is 9.6% below AUSTRAC threshold ($10,000)']",True,False
T00780,2025-07-15,12:02:55,C3956,Business,ATM Withdrawal,13554.6,Google Play,United States,Company_4685,Third Party,2025-07-15 12:02:55,TX_000061,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: United States'],False,False
T00577,2025-05-15,08:32:26,C3973,Investment,Crypto Purchase,10247.92,Coles Express,UAE,Entity_6930,Branch,2025-05-15 08:32:26,TX_000062,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: UAE'],False,False
T00015,2025-03-26,22:16:42,C9829,Checking,ATM Withdrawal,9220.11,RemitHub Overseas,Singapore,Person_2477,Online,2025-03-26 22:16:42,TX_000063,55.0,HIGH,"['UNUSUAL_HOURS', 'INTERNATIONAL_TRANSACTION', 'POTENTIAL_STRUCTURING']","['Transaction at 22:00 (Late evening hours)', 'International transaction: Singapore', 'Amount $9,220.11 is 7.8% below AUSTRAC threshold ($10,000)']",True,False
T00539,2025-03-22,03:14:37,C2766,Checking,Online Payment,12995.01,Myer,UAE,Company_8579,Mobile App,2025-03-22 03:14:37,TX_000064,35.0,MEDIUM,"['LATE_NIGHT_TRANSACTION', 'INTERNATIONAL_TRANSACTION']","['Transaction at 03:00 (High-risk hours: 12am-5am)', 'International transaction: UAE']",False,False
T00774,2025-06-01,17:43:26,C9640,Business,Wire Transfer,15442.33,Amazon,Australia,Person_1447,Branch,2025-06-01 17:43:26,TX_000065,0.0,LOW,[],[],False,False
T00875,2025-06-25,13:06:20,C3189,Checking,Cash Deposit,9260.79,Global Gold Traders,Singapore,Person_7701,Branch,2025-06-25 13:06:20,TX_000066,40.0,HIGH,"['INTERNATIONAL_TRANSACTION', 'POTENTIAL_STRUCTURING']","['International transaction: Singapore', 'Amount $9,260.79 is 7.4% below AUSTRAC threshold ($10,000)']",True,False
T00410,2025-02-11,04:17:14,C3054,Business,Cash Deposit,24657.11,Target,United States,Company_6805,Branch,2025-02-11 04:17:14,TX_000067,35.0,MEDIUM,"['LATE_NIGHT_TRANSACTION', 'INTERNATIONAL_TRANSACTION']","['Transaction at 04:00 (High-risk hours: 12am-5am)', 'International transaction: United States']",False,False
T00980,2025-08-18,21:39:18,C9565,Investment,Wire Transfer,7456.89,Woolworths,Australia,Company_7316,Online,2025-08-18 21:39:18,TX_000068,0.0,LOW,[],[],False,False
T00034,2025-08-22,22:01:48,C4743,Savings,Cash Deposit,24241.14,ANZ,UAE,Company_8644,Branch,2025-08-22 22:01:48,TX_000069,25.0,MEDIUM,"['UNUSUAL_HOURS', 'INTERNATIONAL_TRANSACTION']","['Transaction at 22:00 (Late evening hours)', 'International transaction: UAE']",False,False
T00058,2025-09-06,12:26:26,C3202,Savings,Wire Transfer,18253.67,ANZ,China,Person_5423,Online,2025-09-06 12:26:26,TX_000070,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: China'],False,False
T00417,2025-05-17,06:00:53,C3089,Investment,Crypto Purchase,22385.41,IKEA,Hong Kong,Company_2273,ATM,2025-05-17 06:00:53,TX_000071,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: Hong Kong'],False,False
T00842,2025-06-20,19:15:42,C7247,Checking,Cash Deposit,1038.49,NAB,Singapore,Entity_6943,Third Party,2025-06-20 19:15:42,TX_000072,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: Singapore'],False,False
T00473,2025-05-29,04:12:38,C4701,Checking,Cash Deposit,9457.79,Global Gold Traders,Singapore,Company_6188,Branch,2025-05-29 04:12:38,TX_000073,65.0,VERY_HIGH,"['LATE_NIGHT_TRANSACTION', 'INTERNATIONAL_TRANSACTION', 'POTENTIAL_STRUCTURING']","['Transaction at 04:00 (High-risk hours: 12am-5am)', 'International transaction: Singapore', 'Amount $9,457.79 is 5.4% below AUSTRAC threshold ($10,000)']",True,True
T00936,2025-06-24,16:38:00,C8562,Savings,Cash Deposit,23418.31,eBay,UAE,Company_1069,ATM,2025-06-24 16:38:00,TX_000074,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: UAE'],False,False
T00614,2025-08-16,07:58:12,C1682,Investment,Cash Deposit,3526.93,Woolworths,UAE,Entity_9379,Online,2025-08-16 07:58:12,TX_000075,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: UAE'],False,False
T00042,2025-07-14,01:51:51,C3407,Checking,ATM Withdrawal,20727.0,JB Hi-Fi,Australia,Entity_4921,Mobile App,2025-07-14 01:51:51,TX_000076,25.0,MEDIUM,['LATE_NIGHT_TRANSACTION'],['Transaction at 01:00 (High-risk hours: 12am-5am)'],False,False
T00145,2025-03-18,00:22:03,C6169,Investment,Online Payment,9193.4,Microsoft Store,United Kingdom,Person_2983,Third Party,2025-03-18 00:22:03,TX_000077,65.0,VERY_HIGH,"['LATE_NIGHT_TRANSACTION', 'INTERNATIONAL_TRANSACTION', 'POTENTIAL_STRUCTURING']","['Transaction at 00:00 (High-risk hours: 12am-5am)', 'International transaction: United Kingdom', 'Amount $9,193.40 is 8.1% below AUSTRAC threshold ($10,000)']",True,True
T00440,2025-01-21,20:14:24,C9709,Savings,Crypto Purchase,9165.65,Afterpay,United States,Entity_3608,Third Party,2025-01-21 20:14:24,TX_000078,40.0,HIGH,"['INTERNATIONAL_TRANSACTION', 'POTENTIAL_STRUCTURING']","['International transaction: United States', 'Amount $9,165.65 is 8.3% below AUSTRAC threshold ($10,000)']",True,False
T00190,2025-05-08,15:26:54,C9260,Checking,Cash Deposit,13588.98,Telstra,China,Entity_3004,ATM,2025-05-08 15:26:54,TX_000079,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: China'],False,False
T00671,2025-04-12,21:26:55,C5932,Investment,Cash Deposit,24983.87,Seek,Australia,Person_6841,ATM,2025-04-12 21:26:55,TX_000080,0.0,LOW,[],[],False,False
T00130,2025-01-31,22:44:55,C3898,Business,Wire Transfer,7007.84,ANZ,Singapore,Entity_5899,Third Party,2025-01-31 22:44:55,TX_000081,25.0,MEDIUM,"['UNUSUAL_HOURS', 'INTERNATIONAL_TRANSACTION']","['Transaction at 22:00 (Late evening hours)', 'International transaction: Singapore']",False,False
T00730,2025-09-02,23:41:21,C2821,Checking,ATM Withdrawal,9417.34,W00lw0rths Services,Singapore,Person_3589,Online,2025-09-02 23:41:21,TX_000082,55.0,HIGH,"['UNUSUAL_HOURS', 'INTERNATIONAL_TRANSACTION', 'POTENTIAL_STRUCTURING']","['Transaction at 23:00 (Late evening hours)', 'International transaction: Singapore', 'Amount $9,417.34 is 5.8% below AUSTRAC threshold ($10,000)']",True,False
T00666,2025-06-12,13:45:41,C6105,Savings,Cash Deposit,6279.22,Domain,United Kingdom,Company_6803,Third Party,2025-06-12 13:45:41,TX_000083,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: United Kingdom'],False,False
T00229,2025-07-08,20:00:07,C8473,Investment,Cash Deposit,22172.68,Target,Hong Kong,Entity_4262,Mobile App,2025-07-08 20:00:07,TX_000084,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: Hong Kong'],False,False
T00683,2025-08-02,07:48:06,C1717,Savings,Online Payment,12052.49,ALDI,Australia,Person_1777,Branch,2025-08-02 07:48:06,TX_000085,0.0,LOW,[],[],False,False
T00829,2025-04-17,09:27:10,C7976,Checking,Online Payment,3173.39,Apple Store,Hong Kong,Company_5967,Third Party,2025-04-17 09:27:10,TX_000086,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: Hong Kong'],False,False
T00486,2025-07-24,13:20:27,C8559,Business,Wire Transfer,21936.15,JB Hi-Fi,United States,Entity_1920,Online,2025-07-24 13:20:27,TX_000087,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: United States'],False,False
T00106,2025-01-24,11:12:37,C4365,Investment,Cash Deposit,5979.06,Telstra,United Kingdom,Company_7000,Third Party,2025-01-24 11:12:37,TX_000088,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: United Kingdom'],False,False
T00516,2025-02-14,10:16:19,C7266,Savings,Wire Transfer,9020.54,RemitHub Overseas,UAE,Entity_5194,Mobile App,2025-02-14 10:16:19,TX_000089,40.0,HIGH,"['INTERNATIONAL_TRANSACTION', 'POTENTIAL_STRUCTURING']","['International transaction: UAE', 'Amount $9,020.54 is 9.8% below AUSTRAC threshold ($10,000)']",True,False
T00268,2025-06-13,12:30:00,C5361,Investment,Crypto Purchase,22393.3,Optus,Hong Kong,Entity_3891,Online,2025-06-13 12:30:00,TX_000090,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: Hong Kong'],False,False
T00398,2025-01-26,23:26:18,C7969,Investment,Wire Transfer,4466.41,NAB,Australia,Entity_2417,Third Party,2025-01-26 23:26:18,TX_000091,15.0,LOW,['UNUSUAL_HOURS'],['Transaction at 23:00 (Late evening hours)'],False,False
T00976,2025-03-28,01:17:43,C7913,Savings,Cash Deposit,10982.4,Domain,United Kingdom,Person_4821,Online,2025-03-28 01:17:43,TX_000092,35.0,MEDIUM,"['LATE_NIGHT_TRANSACTION', 'INTERNATIONAL_TRANSACTION']","['Transaction at 01:00 (High-risk hours: 12am-5am)', 'International transaction: United Kingdom']",False,False
T00491,2025-01-02,16:11:27,C2754,Savings,Online Payment,10996.68,Amazon,Hong Kong,Person_7795,ATM,2025-01-02 16:11:27,TX_000093,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: Hong Kong'],False,False
T00053,2025-09-03,11:52:57,C1080,Investment,Online Payment,9637.88,UAE Trade Co,Singapore,Company_9763,ATM,2025-09-03 11:52:57,TX_000094,40.0,HIGH,"['INTERNATIONAL_TRANSACTION', 'POTENTIAL_STRUCTURING']","['International transaction: Singapore', 'Amount $9,637.88 is 3.6% below AUSTRAC threshold ($10,000)']",True,False
T00231,2025-03-25,12:01:20,C3261,Business,Crypto Purchase,23339.24,Google Play,China,Entity_6784,Branch,2025-03-25 12:01:20,TX_000095,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: China'],False,False
T00497,2025-10-13,21:38:42,C2606,Investment,Crypto Purchase,8353.75,Microsoft Store,China,Company_2324,ATM,2025-10-13 21:38:42,TX_000096,40.0,HIGH,"['INTERNATIONAL_TRANSACTION', 'POTENTIAL_STRUCTURING']","['International transaction: China', 'Amount $8,353.75 is 16.5% below AUSTRAC threshold ($10,000)']",True,False
T00249,2025-02-14,07:52:49,C6658,Checking,Crypto Purchase,17056.26,Amazon,Hong Kong,Entity_2097,Branch,2025-02-14 07:52:49,TX_000097,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: Hong Kong'],False,False
T00227,2025-10-05,17:25:20,C1578,Business,Wire Transfer,16261.85,Amazon,United States,Person_7201,Online,2025-10-05 17:25:20,TX_000098,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: United States'],False,False
T00933,2025-05-13,01:02:34,C1269,Savings,Online Payment,13520.65,Officeworks,United States,Person_5372,Online,2025-05-13 01:02:34,TX_000099,35.0,MEDIUM,"['LATE_NIGHT_TRANSACTION', 'INTERNATIONAL_TRANSACTION']","['Transaction at 01:00 (High-risk hours: 12am-5am)', 'International transaction: United States']",False,False
T00080,2025-10-04,23:27:16,C7506,Investment,Wire Transfer,13506.59,Optus,United States,Entity_7177,Third Party,2025-10-04 23:27:16,TX_000100,25.0,MEDIUM,"['UNUSUAL_HOURS', 'INTERNATIONAL_TRANSACTION']","['Transaction at 23:00 (Late evening hours)', 'International transaction: United States']",False,False
