TransactionID,Date,Time,CustomerID,AccountType,TransactionType,Amount,Merchant,Country,Counterparty,Channel
T00752,2025-10-02,15:01:23,C5200,Investment,Crypto Purchase,12403.91,Afterpay,Hong Kong,Company_1674,ATM
T00400,2025-04-06,17:52:51,C6199,Business,ATM Withdrawal,11546.43,ALDI,Singapore,Company_5540,Online
T00024,2025-01-17,20:26:38,C6249,Savings,Crypto Purchase,20219.51,Woolworths,United Kingdom,Person_3054,Third Party
T00640,2025-03-05,21:43:25,C7884,Checking,ATM Withdrawal,11927.46,Woolworths,United States,Person_5482,Branch
T00226,2025-02-18,09:38:42,C2891,Checking,Crypto Purchase,4371.39,Amazon,China,Entity_2316,Branch
T00216,2025-07-06,02:23:20,C5731,Checking,Online Payment,15312.43,eBay,Singapore,Person_8425,Online
T00244,2025-01-21,20:45:05,C6493,Business,Online Payment,1780.56,Officeworks,UAE,Company_7140,Branch
T00889,2025-10-02,15:56:15,C9836,Checking,Wire Transfer,21163.82,Bunnings,Singapore,Company_8412,Third Party
T00908,2025-01-24,00:16:49,C3450,Checking,Wire Transfer,12332.33,ALDI,United Kingdom,Person_6035,Branch
T00479,2025-05-22,23:20:14,C5762,Savings,Wire Transfer,1249.96,Bunnings,Australia,Person_9141,Online
T00634,2025-02-05,16:09:01,C6961,Investment,Wire Transfer,2115.83,eBay,Hong Kong,Company_5949,Online
T00594,2025-04-07,23:49:37,C1367,Business,Cash Deposit,2183.44,Harvey Norman,United States,Company_2509,Mobile App
T00682,2025-07-31,20:51:22,C8799,Savings,ATM Withdrawal,5788.72,Google Play,United States,Company_6000,Mobile App
T00547,2025-08-06,22:26:05,C4830,Checking,Crypto Purchase,8706.48,ZipPay,UAE,Entity_2346,Mobile App
T00523,2025-09-22,09:17:41,C8480,Checking,Cash Deposit,14676.43,Myer,China,Company_6919,Third Party
T00353,2025-09-26,22:29:24,C3601,Savings,Crypto Purchase,19236.24,Commonwealth Bank,Hong Kong,Person_3905,Online
T00993,2025-09-26,05:55:44,C6729,Investment,ATM Withdrawal,12005.59,Google Play,UAE,Company_2111,Online
T00346,2025-08-10,20:22:31,C6453,Checking,Wire Transfer,14248.58,Telstra,China,Person_2541,Branch
T00600,2025-02-15,15:33:37,C2887,Savings,Wire Transfer,6522.61,Domain,Hong Kong,Entity_9088,Online
T00442,2025-01-30,07:42:06,C3107,Investment,ATM Withdrawal,2242.8,Microsoft Store,UAE,Entity_1008,ATM
T00922,2025-06-26,18:34:44,C1272,Checking,Online Payment,8458.23,eBay,Australia,Person_2130,Mobile App
T00105,2025-06-09,10:44:21,C2415,Investment,Wire Transfer,2067.29,BP Australia,United Kingdom,Company_5673,Online
T00023,2025-05-30,11:24:59,C6869,Checking,Online Payment,23557.93,Aldi Australia,UAE,Entity_1744,Branch
T00316,2025-06-10,13:59:52,C1112,Savings,Crypto Purchase,24234.1,ZipPay,UAE,Company_2945,Third Party
T00878,2025-05-16,20:31:11,C1725,Business,Wire Transfer,10869.7,Qantas,United Kingdom,Entity_2963,Mobile App
T00396,2025-06-02,00:08:11,C3043,Savings,Wire Transfer,1069.67,Commonwealth Bank,Australia,Company_2163,Mobile App
T00630,2025-04-01,18:53:52,C2059,Checking,Online Payment,10498.32,Amazon,China,Person_1160,Third Party
T00862,2025-01-07,19:57:45,C8234,Checking,Online Payment,13555.34,Kmart,Hong Kong,Person_5643,Mobile App
T00664,2025-04-25,03:54:04,C3340,Checking,Crypto Purchase,16486.64,Woolworths,UAE,Entity_5390,ATM
T00329,2025-09-30,19:00:03,C5790,Investment,Wire Transfer,9040.61,Optus,Singapore,Company_6816,Third Party
T00780,2025-07-15,12:02:55,C3956,Business,ATM Withdrawal,13554.6,Google Play,United States,Company_4685,Third Party
T00577,2025-05-15,08:32:26,C3973,Investment,Crypto Purchase,10247.92,Coles Express,UAE,Entity_6930,Branch
T00015,2025-03-26,22:16:42,C9829,Checking,ATM Withdrawal,9220.11,RemitHub Overseas,Singapore,Person_2477,Online
T00539,2025-03-22,03:14:37,C2766,Checking,Online Payment,12995.01,Myer,UAE,Company_8579,Mobile App
T00774,2025-06-01,17:43:26,C9640,Business,Wire Transfer,15442.33,Amazon,Australia,Person_1447,Branch
T00875,2025-06-25,13:06:20,C3189,Checking,Cash Deposit,9260.79,Global Gold Traders,Singapore,Person_7701,Branch
T00410,2025-02-11,04:17:14,C3054,Business,Cash Deposit,24657.11,Target,United States,Company_6805,Branch
T00980,2025-08-18,21:39:18,C9565,Investment,Wire Transfer,7456.89,Woolworths,Australia,Company_7316,Online
T00034,2025-08-22,22:01:48,C4743,Savings,Cash Deposit,24241.14,ANZ,UAE,Company_8644,Branch
T00058,2025-09-06,12:26:26,C3202,Savings,Wire Transfer,18253.67,ANZ,China,Person_5423,Online
T00417,2025-05-17,06:00:53,C3089,Investment,Crypto Purchase,22385.41,IKEA,Hong Kong,Company_2273,ATM
T00842,2025-06-20,19:15:42,C7247,Checking,Cash Deposit,1038.49,NAB,Singapore,Entity_6943,Third Party
T00473,2025-05-29,04:12:38,C4701,Checking,Cash Deposit,9457.79,Global Gold Traders,Singapore,Company_6188,Branch
T00936,2025-06-24,16:38:00,C8562,Savings,Cash Deposit,23418.31,eBay,UAE,Company_1069,ATM
T00614,2025-08-16,07:58:12,C1682,Investment,Cash Deposit,3526.93,Woolworths,UAE,Entity_9379,Online
T00042,2025-07-14,01:51:51,C3407,Checking,ATM Withdrawal,20727.0,JB Hi-Fi,Australia,Entity_4921,Mobile App
T00145,2025-03-18,00:22:03,C6169,Investment,Online Payment,9193.4,Microsoft Store,United Kingdom,Person_2983,Third Party
T00440,2025-01-21,20:14:24,C9709,Savings,Crypto Purchase,9165.65,Afterpay,United States,Entity_3608,Third Party
T00190,2025-05-08,15:26:54,C9260,Checking,Cash Deposit,13588.98,Telstra,China,Entity_3004,ATM
T00671,2025-04-12,21:26:55,C5932,Investment,Cash Deposit,24983.87,Seek,Australia,Person_6841,ATM
T00130,2025-01-31,22:44:55,C3898,Business,Wire Transfer,7007.84,ANZ,Singapore,Entity_5899,Third Party
T00730,2025-09-02,23:41:21,C2821,Checking,ATM Withdrawal,9417.34,W00lw0rths Services,Singapore,Person_3589,Online
T00666,2025-06-12,13:45:41,C6105,Savings,Cash Deposit,6279.22,Domain,United Kingdom,Company_6803,Third Party
T00229,2025-07-08,20:00:07,C8473,Investment,Cash Deposit,22172.68,Target,Hong Kong,Entity_4262,Mobile App
T00683,2025-08-02,07:48:06,C1717,Savings,Online Payment,12052.49,ALDI,Australia,Person_1777,Branch
T00829,2025-04-17,09:27:10,C7976,Checking,Online Payment,3173.39,Apple Store,Hong Kong,Company_5967,Third Party
T00486,2025-07-24,13:20:27,C8559,Business,Wire Transfer,21936.15,JB Hi-Fi,United States,Entity_1920,Online
T00106,2025-01-24,11:12:37,C4365,Investment,Cash Deposit,5979.06,Telstra,United Kingdom,Company_7000,Third Party
T00516,2025-02-14,10:16:19,C7266,Savings,Wire Transfer,9020.54,RemitHub Overseas,UAE,Entity_5194,Mobile App
T00268,2025-06-13,12:30:00,C5361,Investment,Crypto Purchase,22393.3,Optus,Hong Kong,Entity_3891,Online
T00398,2025-01-26,23:26:18,C7969,Investment,Wire Transfer,4466.41,NAB,Australia,Entity_2417,Third Party
T00976,2025-03-28,01:17:43,C7913,Savings,Cash Deposit,10982.4,Domain,United Kingdom,Person_4821,Online
T00491,2025-01-02,16:11:27,C2754,Savings,Online Payment,10996.68,Amazon,Hong Kong,Person_7795,ATM
T00053,2025-09-03,11:52:57,C1080,Investment,Online Payment,9637.88,UAE Trade Co,Singapore,Company_9763,ATM
T00231,2025-03-25,12:01:20,C3261,Business,Crypto Purchase,23339.24,Google Play,China,Entity_6784,Branch
T00497,2025-10-13,21:38:42,C2606,Investment,Crypto Purchase,8353.75,Microsoft Store,China,Company_2324,ATM
T00249,2025-02-14,07:52:49,C6658,Checking,Crypto Purchase,17056.26,Amazon,Hong Kong,Entity_2097,Branch
T00227,2025-10-05,17:25:20,C1578,Business,Wire Transfer,16261.85,Amazon,United States,Person_7201,Online
T00933,2025-05-13,01:02:34,C1269,Savings,Online Payment,13520.65,Officeworks,United States,Person_5372,Online
T00080,2025-10-04,23:27:16,C7506,Investment,Wire Transfer,13506.59,Optus,United States,Entity_7177,Third Party
T00968,2025-07-22,19:25:21,C2696,Investment,Crypto Purchase,16463.24,PayPal,Singapore,Entity_6852,ATM
T00281,2025-02-05,06:49:12,C4483,Savings,Cash Deposit,13760.75,NAB,United States,Company_1303,Branch
T00879,2025-04-27,09:18:27,C6755,Savings,Wire Transfer,12479.98,ZipPay,Hong Kong,Company_3755,Third Party
T00607,2025-08-24,08:21:21,C9972,Business,Online Payment,3545.82,Woolworths,Australia,Person_9258,Online
T00273,2025-06-04,23:48:01,C3578,Checking,Wire Transfer,14357.28,Optus,UAE,Company_1358,Online
T00739,2025-01-18,18:03:48,C4526,Investment,Wire Transfer,9809.69,Woolworths,Hong Kong,Entity_9765,ATM
T00288,2025-03-23,16:20:41,C2509,Savings,Wire Transfer,5603.28,Domain,Australia,Company_8716,Third Party
T00381,2025-08-24,16:42:57,C5309,Checking,Cash Deposit,11510.7,eBay,UAE,Person_9022,ATM
T00287,2025-08-26,21:00:10,C9792,Investment,Online Payment,2148.46,Bunnings,Australia,Company_8386,Third Party
T00737,2025-08-31,13:48:53,C9764,Savings,ATM Withdrawal,22378.29,BP Australia,UAE,Company_9023,Mobile App
T00184,2025-01-27,03:20:07,C4714,Savings,Crypto Purchase,16266.6,Afterpay,United Kingdom,Person_9659,Mobile App
T00238,2025-07-19,17:45:37,C4387,Savings,Wire Transfer,9734.84,David Jones,China,Person_9836,Third Party
T00928,2025-06-17,20:17:26,C6628,Investment,Crypto Purchase,18423.23,Westpac,Hong Kong,Person_6691,Mobile App
T00639,2025-06-07,19:04:15,C8892,Investment,Wire Transfer,15279.6,IAG Insurance,Hong Kong,Company_6186,Mobile App
T00788,2025-05-02,00:52:05,C4410,Savings,Online Payment,14575.15,ALDI,Singapore,Company_7936,Branch
T00744,2025-02-13,12:37:24,C2233,Savings,ATM Withdrawal,13793.89,eBay,China,Person_1351,Branch
T00587,2025-09-18,03:05:25,C3656,Checking,ATM Withdrawal,20142.61,Uber,UAE,Company_8187,Branch
T00460,2025-01-22,00:39:06,C3912,Checking,Cash Deposit,19206.1,eBay,Australia,Person_5683,Online
T00931,2025-09-25,14:37:18,C8388,Checking,Cash Deposit,11186.9,Coles,Hong Kong,Entity_3072,Branch
T00026,2025-05-17,14:22:14,C9252,Business,ATM Withdrawal,17121.61,JB Hi-Fi,UAE,Company_1149,Branch
T00300,2025-02-18,01:59:18,C3784,Checking,ATM Withdrawal,8289.8,Myer,United Kingdom,Company_6517,Mobile App
T00036,2025-02-17,16:03:00,C6081,Business,ATM Withdrawal,22375.94,eBay,UAE,Entity_2926,Mobile App
T00351,2025-02-23,06:46:23,C1405,Business,ATM Withdrawal,24992.96,David Jones,Hong Kong,Person_8754,Mobile App
T00865,2025-02-01,19:51:05,C2186,Investment,Crypto Purchase,19596.4,eBay,Australia,Person_6365,Branch
T00332,2025-01-06,14:08:17,C2464,Business,Online Payment,228809.59,Offshore Investments LLC,China,Entity_8724,Branch
T00037,2025-01-25,16:02:34,C5571,Investment,Crypto Purchase,9714.51,ShadySales Pty,UAE,Person_2615,Branch
T00066,2025-09-16,21:05:16,C7652,Savings,Wire Transfer,684.21,ZipPay,United Kingdom,Company_3762,Mobile App
T00576,2025-01-21,05:54:23,C5750,Checking,Crypto Purchase,22440.89,Uber,United Kingdom,Person_1194,Mobile App
T00827,2025-03-20,08:28:31,C3254,Checking,Wire Transfer,19923.61,ALDI,China,Entity_6165,Third Party
T00293,2025-01-04,22:41:57,C9322,Checking,ATM Withdrawal,9297.52,Afterpay,Australia,Person_8353,Branch
T00090,2025-09-30,15:25:11,C1866,Checking,Crypto Purchase,23575.6,ALDI,Singapore,Person_5072,ATM
T00131,2025-10-11,10:29:42,C2072,Business,Cash Deposit,18162.59,Target,China,Person_6813,Online
T00913,2025-04-06,00:53:24,C9138,Business,ATM Withdrawal,16320.47,Telstra,Singapore,Entity_8048,Mobile App
T00704,2025-03-14,03:55:33,C8046,Checking,Crypto Purchase,18452.68,Westpac,United Kingdom,Company_3951,Third Party
T00395,2025-01-30,19:23:22,C4164,Business,Online Payment,15068.29,IAG Insurance,China,Entity_9821,Online
T00264,2025-05-08,12:10:05,C5475,Business,Online Payment,18875.84,Apple Store,UAE,Company_4715,ATM
T00228,2025-08-16,10:54:28,C5994,Business,Crypto Purchase,15415.46,Apple Store,United Kingdom,Entity_1163,Mobile App
T00832,2025-06-17,12:55:49,C7036,Checking,Wire Transfer,4062.6,Qantas,UAE,Company_8078,Online
T00119,2025-08-26,11:56:30,C3588,Investment,Cash Deposit,23421.41,ZipPay,Australia,Entity_1257,Branch
T00590,2025-03-23,13:53:25,C6132,Business,Cash Deposit,9959.73,Google Play,United Kingdom,Entity_3802,ATM
T00394,2025-09-26,17:30:38,C6594,Checking,Cash Deposit,9139.92,UAE Trade Co,Hong Kong,Person_7660,Third Party
T00243,2025-07-04,21:58:09,C3409,Investment,Cash Deposit,5206.77,Officeworks,United Kingdom,Company_9603,Branch
T00956,2025-04-08,00:16:37,C8340,Business,Wire Transfer,4469.89,Qantas,Singapore,Company_8748,Branch
T00459,2025-04-28,14:05:56,C9645,Checking,Wire Transfer,2915.18,PayPal,United States,Company_1508,Third Party
T00307,2025-02-05,16:36:24,C3181,Checking,ATM Withdrawal,10035.56,Afterpay,United Kingdom,Person_7965,Online
T00663,2025-07-01,15:44:39,C9250,Savings,Online Payment,15991.79,ANZ,China,Company_1792,Online
T00573,2025-07-07,16:01:58,C7972,Checking,Wire Transfer,4589.11,BP Australia,United States,Entity_7317,Third Party
T00787,2025-06-07,08:33:50,C1112,Business,Cash Deposit,19286.06,Aldi Australia,Hong Kong,Entity_1663,Branch
T00914,2025-04-30,00:46:37,C4418,Savings,Online Payment,24236.84,Commonwealth Bank,Hong Kong,Company_2069,Third Party
T00174,2025-07-04,23:09:07,C9700,Savings,ATM Withdrawal,8998.24,JB Hi-Fi,Hong Kong,Entity_2157,ATM
T00802,2025-08-11,11:43:44,C6606,Savings,Online Payment,4132.41,ZipPay,Singapore,Entity_2255,ATM
T00662,2025-05-27,01:45:14,C6257,Checking,Crypto Purchase,21830.0,PayPal,Hong Kong,Entity_9920,ATM
T00294,2025-06-28,12:11:50,C9193,Investment,Crypto Purchase,9080.93,ShadySales Pty,Hong Kong,Person_4710,ATM
T00255,2025-09-12,01:22:40,C7629,Investment,Online Payment,24191.13,Bunnings,Singapore,Entity_2138,Third Party
T00055,2025-08-11,06:30:51,C4503,Checking,Online Payment,11263.79,Westpac,United Kingdom,Person_2417,Third Party
T00155,2025-01-13,04:55:31,C8938,Checking,Online Payment,16739.66,Optus,China,Company_2146,Mobile App
T00794,2025-03-26,11:01:24,C1386,Business,Crypto Purchase,18968.67,JB Hi-Fi,China,Entity_4671,Branch
T00172,2025-10-01,08:20:06,C4111,Savings,Online Payment,1806.88,Commonwealth Bank,China,Person_4824,Mobile App
T00883,2025-06-15,17:19:31,C5677,Investment,ATM Withdrawal,16275.63,Caltex,Singapore,Person_4451,ATM
T00014,2025-06-22,22:15:53,C8994,Checking,Wire Transfer,13143.13,IKEA,Hong Kong,Company_9630,Third Party
T00850,2025-02-12,04:02:02,C7485,Business,Wire Transfer,12966.91,JB Hi-Fi,UAE,Entity_5633,Online
T00527,2025-07-22,15:29:17,C8110,Savings,Online Payment,14150.07,David Jones,Australia,Entity_9139,Third Party
T00895,2025-01-29,09:31:07,C8556,Savings,ATM Withdrawal,9918.1,Kmart,Singapore,Entity_7149,Online
T00750,2025-01-21,14:58:03,C9869,Checking,ATM Withdrawal,17097.31,IKEA,United Kingdom,Person_3390,Branch
T00765,2025-03-26,00:05:55,C9743,Savings,ATM Withdrawal,22046.85,BP Australia,China,Company_3018,Third Party
T00957,2025-05-03,15:27:56,C3679,Checking,Cash Deposit,16557.73,Kmart,UAE,Entity_2920,Third Party
T00051,2025-07-13,11:31:03,C9012,Checking,Wire Transfer,19764.88,Domain,UAE,Person_3547,Third Party
T00133,2025-04-11,18:59:57,C9458,Checking,Wire Transfer,9672.04,MerchantServices Ltd,Hong Kong,Entity_1395,Mobile App
T00606,2025-03-06,10:02:58,C5965,Checking,Online Payment,24364.95,ANZ,United Kingdom,Entity_3985,Third Party
T00786,2025-09-04,10:06:43,C2460,Business,Crypto Purchase,7559.04,BP Australia,United States,Company_7977,Third Party
T00624,2025-04-27,19:58:38,C8736,Business,Wire Transfer,324.35,IKEA,UAE,Person_7287,ATM
T00383,2025-03-27,21:26:54,C2865,Investment,ATM Withdrawal,1702.59,Coles,UAE,Company_2826,Mobile App
T00200,2025-05-07,05:45:00,C2322,Checking,Crypto Purchase,13538.85,Google Play,Hong Kong,Company_6934,Online
T00510,2025-04-12,16:16:07,C6576,Investment,ATM Withdrawal,11452.16,Coles Express,China,Person_1129,Branch
T00438,2025-06-18,07:17:15,C8332,Checking,Wire Transfer,23345.61,Qantas,Singapore,Person_6420,Online
T00415,2025-02-22,01:33:00,C7032,Investment,Cash Deposit,965.25,Woolworths,United Kingdom,Person_4828,Mobile App
T00534,2025-04-15,12:30:40,C8599,Investment,Wire Transfer,22771.62,NAB,Australia,Company_4854,ATM
T00463,2025-04-24,02:54:23,C8763,Business,ATM Withdrawal,13338.11,Coles,Hong Kong,Company_9685,Branch
T00945,2025-08-27,01:58:05,C2374,Savings,Cash Deposit,24328.79,Telstra,Hong Kong,Entity_4319,ATM
T00808,2025-10-11,13:28:55,C8722,Business,Wire Transfer,3818.89,Apple Store,UAE,Company_6126,Branch
T00482,2025-08-13,11:29:01,C7231,Savings,Cash Deposit,4133.22,David Jones,Australia,Person_1123,Third Party
T00454,2025-02-01,03:55:47,C8860,Checking,Cash Deposit,11941.66,Domain,Hong Kong,Person_5462,Online
T00467,2025-01-20,00:38:43,C2364,Business,Crypto Purchase,8092.73,eBay,UAE,Entity_9691,Branch
T00658,2025-05-28,07:08:13,C7815,Business,Crypto Purchase,22936.97,Caltex,United Kingdom,Person_6691,Branch
T00223,2025-05-25,11:24:35,C1398,Investment,Wire Transfer,4424.49,Coles Express,United Kingdom,Person_1872,Mobile App
T00649,2025-05-20,01:36:31,C7703,Investment,Online Payment,8642.37,Microsoft Store,China,Person_3023,Branch
T00501,2025-05-02,03:23:29,C5526,Savings,Crypto Purchase,22352.62,Kmart,China,Entity_5443,Branch
T00994,2025-04-11,01:39:44,C5704,Savings,Wire Transfer,20353.47,Target,China,Entity_3285,Branch
T00954,2025-02-28,06:39:45,C1817,Investment,ATM Withdrawal,16831.42,Harvey Norman,Australia,Person_9966,Online
T00673,2025-07-03,21:49:16,C4742,Checking,Cash Deposit,7855.73,Westpac,Australia,Company_2850,Online
T00498,2025-01-14,21:31:23,C8963,Checking,Online Payment,8405.9,Kmart,China,Company_3699,Branch
T00348,2025-07-03,02:30:18,C3329,Investment,Cash Deposit,3389.61,JB Hi-Fi,United Kingdom,Person_5066,Mobile App
T00099,2025-06-02,23:14:57,C7240,Savings,Crypto Purchase,10305.37,Commonwealth Bank,Singapore,Entity_4711,Branch
T00186,2025-04-04,06:41:03,C8833,Business,ATM Withdrawal,22171.1,ALDI,Hong Kong,Person_5350,ATM
T00823,2025-03-21,21:33:11,C7132,Savings,Crypto Purchase,13282.34,Apple Store,Hong Kong,Company_5108,Third Party
T00667,2025-08-11,17:53:57,C3585,Checking,Wire Transfer,16184.29,Amazon,China,Person_7433,ATM
T00690,2025-06-12,04:03:11,C3533,Investment,Wire Transfer,22155.14,NAB,Singapore,Company_5597,Third Party
T00531,2025-04-27,16:06:04,C9277,Business,Cash Deposit,15187.54,Optus,United Kingdom,Person_8561,Branch
T00114,2025-07-18,06:03:43,C9465,Investment,ATM Withdrawal,5545.01,Kmart,Singapore,Entity_1391,Third Party
T00461,2025-01-10,09:39:17,C1998,Business,Wire Transfer,14551.89,Google Play,UAE,Person_2116,Mobile App
T00349,2025-02-06,15:30:18,C2481,Checking,Cash Deposit,1456.57,Myer,Singapore,Entity_2004,Mobile App
T00278,2025-09-26,08:22:58,C7920,Business,Online Payment,19543.34,Aldi Australia,Singapore,Person_1491,Mobile App
T00393,2025-03-18,04:59:23,C4021,Savings,Online Payment,21864.22,Apple Store,United Kingdom,Person_8882,Third Party
T00619,2025-05-25,21:39:02,C7474,Savings,Online Payment,13265.06,Woolworths,Singapore,Company_1534,Online
T00997,2025-05-08,23:54:44,C6346,Business,Cash Deposit,13363.38,Optus,United States,Person_8845,Branch
T00158,2025-02-17,22:12:44,C7768,Checking,ATM Withdrawal,656.68,Telstra,United Kingdom,Entity_1421,ATM
T00359,2025-08-10,16:43:08,C3342,Savings,Online Payment,16808.93,Afterpay,United Kingdom,Company_2409,Branch
T00356,2025-09-25,10:05:46,C3617,Investment,ATM Withdrawal,5165.88,Commonwealth Bank,Hong Kong,Person_3411,ATM
T00149,2025-08-10,10:08:11,C5975,Investment,Cash Deposit,15926.5,Myer,United Kingdom,Person_1757,Branch
T00470,2025-02-25,18:16:58,C5054,Business,Cash Deposit,14911.19,David Jones,Singapore,Person_5852,Mobile App
T00627,2025-10-12,18:06:28,C4265,Investment,Wire Transfer,6305.73,Target,Singapore,Person_8743,ATM
T00035,2025-05-15,14:29:41,C3294,Savings,Wire Transfer,11271.37,Commonwealth Bank,UAE,Company_4545,ATM
T00766,2025-05-21,05:31:04,C2345,Checking,ATM Withdrawal,21802.5,Uber,United Kingdom,Company_6367,Third Party
T00013,2025-01-21,03:16:22,C8963,Checking,Wire Transfer,10827.03,Bunnings,China,Person_6061,ATM
T00402,2025-02-28,17:41:02,C2300,Checking,ATM Withdrawal,12610.26,Domain,United Kingdom,Entity_2665,Branch
T00143,2025-05-27,20:03:05,C6425,Savings,Crypto Purchase,500.98,Optus,Australia,Company_2480,ATM
T00872,2025-04-15,18:17:28,C4535,Business,Cash Deposit,18134.42,Microsoft Store,China,Entity_8305,Online
T00259,2025-03-07,05:51:51,C8027,Business,Cash Deposit,3235.86,BP Australia,United States,Person_8759,Third Party
T00236,2025-01-03,08:39:45,C4731,Investment,Cash Deposit,14665.1,PayPal,Hong Kong,Company_8078,Branch
T00524,2025-02-22,04:25:56,C9628,Investment,Crypto Purchase,2564.83,Coles Express,Hong Kong,Company_3245,Online
T00652,2025-06-10,04:17:25,C5649,Business,Cash Deposit,10898.94,Amazon,Singapore,Company_1066,Online
T00719,2025-05-21,03:31:43,C6045,Business,Crypto Purchase,18596.65,Officeworks,Australia,Person_5087,Third Party
T00276,2025-07-03,16:47:41,C7558,Business,Crypto Purchase,9153.6,Coles_Express_LLC,UAE,Person_4943,Branch
T00861,2025-02-18,09:27:52,C9955,Investment,Online Payment,15434.28,NAB,United States,Person_1464,Mobile App
T00091,2025-05-04,05:16:11,C2150,Savings,ATM Withdrawal,9547.3,Amaz0n Marketplace,Hong Kong,Person_2426,ATM
T00031,2025-05-04,07:37:00,C4530,Checking,Online Payment,18896.27,ZipPay,Singapore,Entity_1493,ATM
T00960,2025-07-24,17:14:04,C1813,Investment,Cash Deposit,15465.29,Microsoft Store,China,Person_8553,Online
T00623,2025-03-14,11:07:45,C9075,Checking,Wire Transfer,18019.05,Afterpay,Australia,Entity_7706,ATM
T00543,2025-03-20,00:09:41,C2856,Checking,ATM Withdrawal,165.57,ALDI,Australia,Person_6512,Online
T00355,2025-06-12,10:30:43,C7951,Investment,Crypto Purchase,6221.34,ZipPay,United States,Entity_2524,Online
T00027,2025-01-09,03:58:04,C4219,Savings,Wire Transfer,17097.42,Woolworths,Singapore,Person_7676,Third Party
T00967,2025-09-19,06:39:19,C4499,Business,Cash Deposit,14450.77,ZipPay,United Kingdom,Company_4104,Mobile App
T00995,2025-10-01,08:07:09,C3788,Checking,ATM Withdrawal,9535.88,Optus,United States,Company_4439,Third Party
T00125,2025-09-25,08:12:53,C3209,Savings,Wire Transfer,13902.26,PayPal,United Kingdom,Company_7764,Online
