TransactionID,Date,Time,Type,Amount,Merchant,Country,Channel,Counterparty
TX0098,2025-09-13,21:27:48,Direct Credit,515.91,Telstra,Australia,ATM,
TX0044,2025-09-15,05:57:08,Direct Credit,1091.64,BP Australia,Australia,Branch,
TX0013,2025-09-18,00:45:30,Online Payment,9103.59,uber-oceanic-inc,Australia,Mobile App,uber-oceanic-inc
TX0022,2025-09-18,23:17:31,ATM Withdrawal,171.7,Caltex,Australia,ATM,
TX0082,2025-09-19,09:32:08,POS Purchase,749.84,IKEA Australia,Australia,ATM,
TX0026,2025-09-19,10:05:51,ATM Withdrawal,943.29,Officeworks,Australia,Mobile App,
TX0009,2025-09-20,03:00:00,Transfer,8000.0,FastFunds Remit,UAE,Wire,FastFunds Remit
TX0035,2025-09-20,09:20:07,ATM Withdrawal,1158.93,Bunnings,Australia,Online,
TX0029,2025-09-20,11:23:27,ATM Withdrawal,712.94,Qantas Airways,Australia,Online,
TX0095,2025-09-21,08:25:56,Transfer,926.31,Westpac,Australia,Mobile App,
TX0008,2025-09-21,08:46:33,Online Payment,1040.08,Myer,Australia,Mobile App,
TX0076,2025-09-21,11:31:39,Online Payment,876.16,JB Hi-Fi,Australia,Branch,
TX0071,2025-09-21,13:30:17,Direct Credit,927.83,Myer,Australia,POS,
TX0032,2025-09-22,03:00:00,Transfer,8200.0,FastFunds Remit,UAE,Wire,FastFunds Remit
TX0060,2025-09-22,06:25:24,BPAY,393.77,Myer,Australia,POS,
TX0099,2025-09-23,04:42:18,ATM Withdrawal,35.38,McDonald's,Australia,POS,
TX0040,2025-09-23,17:19:03,BPAY,530.98,JB Hi-Fi,Australia,Mobile App,
TX0021,2025-09-23,23:50:00,Direct Credit,151881.14,Phantom Retailers Inc,UAE,Mobile App,Phantom Retailers Inc
TX0037,2025-09-24,03:00:00,Transfer,8400.0,FastFunds Remit,UAE,Wire,FastFunds Remit
TX0046,2025-09-25,07:13:30,Online Payment,796.71,Commonwealth Bank,Australia,POS,
TX0036,2025-09-25,17:38:28,Direct Credit,971.03,Qantas Airways,Australia,POS,
TX0066,2025-09-25,23:02:07,Online Payment,653.52,JB Hi-Fi,Australia,Branch,
TX0048,2025-09-26,03:00:00,Transfer,8600.0,FastFunds Remit,UAE,Wire,FastFunds Remit
TX0096,2025-09-26,09:05:09,ATM Withdrawal,595.09,JB Hi-Fi,Australia,Online,
TX0015,2025-09-27,00:45:03,POS Purchase,222.28,IKEA Australia,Australia,POS,
TX0058,2025-09-27,04:19:31,Transfer,239.2,Zip Pay,Australia,Online,
TX0056,2025-09-27,16:34:03,Online Payment,1106.64,JB Hi-Fi,Australia,Mobile App,
TX0016,2025-09-27,19:10:26,ATM Withdrawal,224.17,Officeworks,Australia,Mobile App,
TX0065,2025-09-28,03:00:00,Transfer,8800.0,FastFunds Remit,UAE,Wire,FastFunds Remit
TX0030,2025-09-28,12:48:45,Transfer,60.51,Amazon Australia,Australia,Online,
TX0068,2025-09-28,23:20:06,Direct Credit,963.63,Bunnings,Australia,Branch,
TX0087,2025-09-29,02:47:38,Transfer,876.88,ANZ Bank,Australia,POS,
TX0089,2025-09-29,08:36:58,Direct Credit,1065.22,Commonwealth Bank,Australia,Mobile App,
TX0063,2025-09-29,13:34:56,Online Payment,995.34,Woolworths,Australia,POS,
TX0004,2025-09-29,15:58:25,Direct Credit,720.4,Coles,Australia,POS,
TX0094,2025-09-29,20:39:54,POS Purchase,675.73,NAB,Australia,POS,
TX0006,2025-09-30,05:24:09,POS Purchase,191.41,ANZ Bank,Australia,Online,
TX0024,2025-09-30,13:41:20,Transfer,442.8,BP Australia,Australia,Mobile App,
TX0001,2025-10-02,00:59:10,POS Purchase,452.58,Woolworths,Australia,ATM,
TX0031,2025-10-02,19:38:29,Direct Credit,731.02,IKEA Australia,Australia,Branch,
TX0085,2025-10-03,03:08:09,Transfer,376.62,Aldi Australia,Australia,Online,
TX0097,2025-10-03,12:17:14,Transfer,629.67,Amazon Australia,Australia,Online,
TX0072,2025-10-03,16:31:35,Transfer,242.47,Officeworks,Australia,POS,
TX0003,2025-10-03,20:24:43,Transfer,879.73,ANZ Bank,Australia,POS,
TX0042,2025-10-04,02:15:00,BPAY,596.74,McDonald's,Australia,ATM,
TX0010,2025-10-04,03:12:12,Transfer,170965.97,Coles_Express_LLC,Australia,Online,Coles_Express_LLC
TX0084,2025-10-04,19:35:16,Transfer,80.95,Starbucks,Australia,Mobile App,
TX0023,2025-10-05,01:40:47,Transfer,354.11,Officeworks,Australia,POS,
TX0018,2025-10-05,04:53:08,POS Purchase,632.08,Coles,Australia,Online,
TX0064,2025-10-05,08:41:40,Transfer,431.32,Coles,Australia,Online,
TX0059,2025-10-05,14:38:44,ATM Withdrawal,59.05,IKEA Australia,Australia,ATM,
TX0007,2025-10-05,18:13:23,Transfer,74.41,Zip Pay,Australia,Mobile App,
TX0025,2025-10-06,09:29:39,Online Payment,550.0,BP Australia,Australia,Branch,
TX0034,2025-10-07,03:12:12,Direct Credit,9041.83,W00lw0rths Services,Australia,Online,
TX0033,2025-10-07,03:58:30,BPAY,82.74,ANZ Bank,Australia,ATM,
TX0088,2025-10-07,07:27:16,ATM Withdrawal,766.88,Coles,Australia,POS,
TX0049,2025-10-08,00:23:22,Online Payment,658.32,ANZ Bank,Australia,Mobile App,
TX0055,2025-10-08,04:15:42,Online Payment,719.49,Telstra,Australia,Branch,
TX0043,2025-10-08,07:28:56,Transfer,46.09,Amazon Australia,Australia,POS,
TX0019,2025-10-08,12:41:23,ATM Withdrawal,521.17,Qantas Airways,Australia,Online,
TX0083,2025-10-09,01:30:30,Direct Credit,400.42,Uber Eats,Australia,Branch,
TX0038,2025-10-09,10:50:21,Transfer,121.72,Kmart,Australia,Mobile App,
TX0074,2025-10-09,20:45:28,POS Purchase,979.48,Bunnings,Australia,Online,
TX0069,2025-10-10,00:05:00,Direct Credit,9846.1,FakeStore Online,Australia,Mobile App,
TX0014,2025-10-10,04:22:21,POS Purchase,258.75,Domino's Pizza,Australia,Branch,
TX0054,2025-10-10,14:44:09,POS Purchase,1074.32,McDonald's,Australia,Mobile App,
TX0079,2025-10-11,14:02:33,POS Purchase,433.37,Qantas Airways,Australia,Online,
TX0091,2025-10-12,07:53:09,Online Payment,147.92,Qantas Airways,Australia,Mobile App,
TX0041,2025-10-12,18:52:51,POS Purchase,150.84,Afterpay,Australia,POS,
TX0020,2025-10-13,01:31:35,POS Purchase,353.02,IKEA Australia,Australia,ATM,
TX0017,2025-10-13,03:12:12,Transfer,9666.93,Qantass Travel,Australia,Online,
TX0057,2025-10-13,03:12:12,Transfer,242506.86,uber-oceanic-inc,Australia,Mobile App,uber-oceanic-inc
TX0047,2025-10-13,06:13:39,Transfer,377.49,Uber Eats,Australia,Mobile App,
